350,2.16,0.01
351,2.158285,0.01
352,2.15648,0.01
353,2.154595,0.01
354,2.15264,0.01
355,2.150625,0.01
356,2.14856,0.01
357,2.146455,0.01
358,2.14432,0.01
359,2.142165,0.01
360,2.14,0.01
361,2.137835,0.01
362,2.13568,0.01
363,2.133545,0.01
364,2.13144,0.01
365,2.129375,0.01
366,2.12736,0.01
367,2.125405,0.01
368,2.12352,0.01
369,2.121715,0.01
370,2.12,0.01
371,2.11888,0.01
372,2.11784,0.01
373,2.11686,0.01
374,2.11592,0.01
375,2.115,0.01
376,2.11408,0.01
377,2.11314,0.01
378,2.11216,0.01
379,2.11112,0.01
380,2.11,0.01
381,2.10812,0.01
382,2.10616,0.01
383,2.10414,0.01
384,2.10208,0.01
385,2.1,0.01
386,2.09792,0.01
387,2.09586,0.01
388,2.09384,0.01
389,2.09188,0.01
390,2.09,0.01
391,2.088715,0.01
392,2.08752,0.01
393,2.086405,0.01
394,2.08536,0.01
395,2.084375,0.01
396,2.08344,0.01
397,2.082545,0.01
398,2.08168,0.01
399,2.080835,0.01
400,2.08,0.01
401,2.079,0.01
402,2.078,0.01
403,2.077,0.01
404,2.076,0.01
405,2.075,0.01
406,2.074,0.01
407,2.073,0.01
408,2.072,0.01
409,2.071,0.01
410,2.07,0.01
411,2.069,0.01
412,2.068,0.01
413,2.067,0.01
414,2.066,0.01
415,2.065,0.01
416,2.064,0.01
417,2.063,0.01
418,2.062,0.01
419,2.061,0.01
420,2.06,0.01
421,2.059,0.01
422,2.058,0.01
423,2.057,0.01
424,2.056,0.01
425,2.055,0.01
426,2.054,0.01
427,2.053,0.01
428,2.052,0.01
429,2.051,0.01
430,2.05,0.01
431,2.049,0.01
432,2.048,0.01
433,2.047,0.01
434,2.046,0.01
435,2.045,0.01
436,2.044,0.01
437,2.043,0.01
438,2.042,0.01
439,2.041,0.01
440,2.04,0.01
441,2.039,0.01
442,2.038,0.01
443,2.037,0.01
444,2.036,0.01
445,2.035,0.01
446,2.034,0.01
447,2.033,0.01
448,2.032,0.01
449,2.031,0.01
450,2.03,0.01
451,2.028835,0.01
452,2.02768,0.01
453,2.026545,0.01
454,2.02544,0.01
455,2.024375,0.01
456,2.02336,0.01
457,2.022405,0.01
458,2.02152,0.01
459,2.020715,0.01
460,2.02,0.01
461,2.01988,0.01
462,2.01984,0.01
463,2.01986,0.01
464,2.01992,0.01
465,2.02,0.01
466,2.02008,0.01
467,2.02014,0.01
468,2.02016,0.01
469,2.02012,0.01
470,2.02,0.01
471,2.019285,0.01
472,2.01848,0.01
473,2.017595,0.01
474,2.01664,0.01
475,2.015625,0.01
476,2.01456,0.01
477,2.013455,0.01
478,2.01232,0.01
479,2.011165,0.01
480,2.01,0.01
481,2.008835,0.01
482,2.00768,0.01
483,2.006545,0.01
484,2.00544,0.01
485,2.004375,0.01
486,2.00336,0.01
487,2.002405,0.01
488,2.00152,0.01
489,2.000715,0.01
490,2,0.01
491,1.99988,0.01
492,1.99984,0.01
493,1.99986,0.01
494,1.99992,0.01
495,2,0.01
496,2.00008,0.01
497,2.00014,0.01
498,2.00016,0.01
499,2.00012,0.01
500,2,0.01
501,1.999285,0.01
502,1.99848,0.01
503,1.997595,0.01
504,1.99664,0.01
505,1.995625,0.01
506,1.99456,0.01
507,1.993455,0.01
508,1.99232,0.01
509,1.991165,0.01
510,1.99,0.01
511,1.988835,0.01
512,1.98768,0.01
513,1.986545,0.01
514,1.98544,0.01
515,1.984375,0.01
516,1.98336,0.01
517,1.982405,0.01
518,1.98152,0.01
519,1.980715,0.01
520,1.98,0.01
521,1.97988,0.01
522,1.97984,0.01
523,1.97986,0.01
524,1.97992,0.01
525,1.98,0.01
526,1.98008,0.01
527,1.98014,0.01
528,1.98016,0.01
529,1.98012,0.01
530,1.98,0.01
531,1.979285,0.01
532,1.97848,0.01
533,1.977595,0.01
534,1.97664,0.01
535,1.975625,0.01
536,1.97456,0.01
537,1.973455,0.01
538,1.97232,0.01
539,1.971165,0.01
540,1.97,0.01
541,1.968835,0.01
542,1.96768,0.01
543,1.966545,0.01
544,1.96544,0.01
545,1.964375,0.01
546,1.96336,0.01
547,1.962405,0.01
548,1.96152,0.01
549,1.960715,0.01
550,1.96,0.01
551,1.95988,0.01
552,1.95984,0.01
553,1.95986,0.01
554,1.95992,0.01
555,1.96,0.01
556,1.96008,0.01
557,1.96014,0.01
558,1.96016,0.01
559,1.96012,0.01
560,1.96,0.01
561,1.959285,0.01
562,1.95848,0.01
563,1.957595,0.01
564,1.95664,0.01
565,1.955625,0.01
566,1.95456,0.01
567,1.953455,0.01
568,1.95232,0.01
569,1.951165,0.01
570,1.95,0.01
571,1.948835,0.01
572,1.94768,0.01
573,1.946545,0.01
574,1.94544,0.01
575,1.944375,0.01
576,1.94336,0.01
577,1.942405,0.01
578,1.94152,0.01
579,1.940715,0.01
580,1.94,0.01
581,1.93988,0.01
582,1.93984,0.01
583,1.93986,0.01
584,1.93992,0.01
585,1.94,0.01
586,1.94008,0.01
587,1.94014,0.01
588,1.94016,0.01
589,1.94012,0.01
590,1.94,0.01
591,1.93912,0.01
592,1.93816,0.01
593,1.93714,0.01
594,1.93608,0.01
595,1.935,0.01
596,1.93392,0.01
597,1.93286,0.01
598,1.93184,0.01
599,1.93088,0.01
600,1.93,0.01
601,1.92988,0.01
602,1.92984,0.01
603,1.92986,0.01
604,1.92992,0.01
605,1.93,0.01
606,1.93008,0.01
607,1.93014,0.01
608,1.93016,0.01
609,1.93012,0.01
610,1.93,0.01
611,1.929285,0.01
612,1.92848,0.01
613,1.927595,0.01
614,1.92664,0.01
615,1.925625,0.01
616,1.92456,0.01
617,1.923455,0.01
618,1.92232,0.01
619,1.921165,0.01
620,1.92,0.01
621,1.918835,0.01
622,1.91768,0.01
623,1.916545,0.01
624,1.91544,0.01
625,1.914375,0.01
626,1.91336,0.01
627,1.912405,0.01
628,1.91152,0.01
629,1.910715,0.01
630,1.91,0.01
631,1.90988,0.01
632,1.90984,0.01
633,1.90986,0.01
634,1.90992,0.01
635,1.91,0.01
636,1.91008,0.01
637,1.91014,0.01
638,1.91016,0.01
